,Name,MC_USD_Bilion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,346.34,398.29,35624.99
1,Bank of America,231.52,185.22,213.0,19051.78
2,Industrial and Commercial Bank of China,194.56,155.65,179.0,16010.34
3,Agricultural Bank of China,160.68,128.54,147.83,13222.36
4,HDFC Bank,157.91,126.33,145.28,12994.41
5,Wells Fargo,155.87,124.7,143.4,12826.54
6,HSBC,148.9,119.12,136.99,12252.98
7,Morgan Stanley,140.83,112.66,129.56,11588.9
8,China Construction Bank,139.82,111.86,128.63,11505.79
9,Bank of China,136.81,109.45,125.87,11258.09
